id,content,source,label,tags,publication_date,author,link,label_enc
1,Masowe zwolnienia w marcu tego roku objęły 17 tysięcy pracowników ze 159 firm.,demagog_org,Prawda,"Gospodarka,UE,Praca,Bezrobocie",1717168920,Anna Bryłka,https://demagog.org.pl/wypowiedzi/ilu-pracownikow-objely-zwolnienia-grupowe/,1
2,"W proponowanych zmianach traktatowych, które pośrednio łączą się z paktem migracyjnym, jest napisane, że obozy dla uchodźców – przypominam: to nie są uchodźcy, a nielegalni imigranci – będą budowane głównie na granicy Unii Europejskiej z państwami trzecimi. Kto ma najdłuższą granicę Unii Europejskiej? Polska. Mówimy tutaj o najdłuższym odcinku lądowym.",demagog_org,Fałsz,"UE,Uchodźcy",1717158300,Dominik Tarczyński,https://demagog.org.pl/wypowiedzi/obozy-na-polskiej-granicy-sprawdzamy-co-przewiduje-pakt-o-migracji-i-azylu/,0
3,"Polacy wybierają jedną z największych ilości w ogóle europosłów w Europie, aż 53.",demagog_org,Prawda,"UE,Wybory europarlamentarne",1717156380,Patryk Jaki,https://demagog.org.pl/wypowiedzi/eurowybory-ile-mandatow-przypadnie-polsce/,1
4,"W tej chwili np. w Warszawie ma powstać kolejny meczet, finansowany z zagranicy. Ja uważam, że my powinniśmy ustanowić tak jak Austria prawo, które uniemożliwia finansowanie rozwoju islamu z zagranicy.",demagog_org,Prawda,"Religia,Austria",1716996000,Krzysztof Bosak,https://demagog.org.pl/wypowiedzi/islam-a-austriackie-prawo-wyjasniamy-przepisy/,1
5,"Pracujemy najwięcej jako Polacy w Europie, a nadal zarabiamy poniżej średniej [państw Unii Europejskiej – przyp. Demagog].",demagog_org,W większości prawda,"Praca,Gospodarka,UE,Wybory,Wybory europarlamentarne",1716981540,Robert Biedroń,https://demagog.org.pl/wypowiedzi/zarabiamy-ponizej-sredniej-ue-a-ile-czasu-spedzamy-w-pracy/,4
6,"Tymczasem wpuściliśmy wielokrotnie mniej uchodźców [z Ukrainy – przyp. Demagog] podczas tej fali powojennej, niż wpuściły Niemcy, które wpuściły półtora miliona, Włochy – dwa miliony, po pół miliona inne zachodnie państwa.",demagog_org,Fałsz,"UE,Ukraina,Wybory,Wybory europarlamentarne,Uchodźcy,Migracja",1716980160,Konrad Berkowicz,https://demagog.org.pl/wypowiedzi/ilu-uchodzcow-z-ukrainy-przyjely-panstwa-ue-sprawdzamy/,0
7,Teraz Niemcy produkują tyle samochodów co w latach 70.,demagog_org,Fałsz,"Niemcy,Transport,UE",1716978660,Sławomir Mentzen,https://demagog.org.pl/wypowiedzi/niemcy-produkuja-tyle-samo-samochodow-co-w-latach-70-falsz/,0
8,"Największe partie w Parlamencie Europejskim, rządzące Unią Europejską, głosowały za paktem migracyjnym.",demagog_org,Prawda,"UE,Wybory,Wybory europarlamentarne,Uchodźcy",1716919980,Bogdan Rzońca,https://demagog.org.pl/wypowiedzi/pakt-migracyjny-ktore-partie-w-pe-glosowaly-za-jego-przyjeciem/,1
9,"W różnych rankingach stałam się najaktywniejszą Polką w europarlamencie, na 38. miejscu byłam.",demagog_org,Manipulacja,"Sprawy międzynarodowe,UE,Wybory,Wybory europarlamentarne",1716903300,Anna Zalewska,https://demagog.org.pl/wypowiedzi/najaktywniejsza-polka-w-pe-anna-zalewska-nie-mowi-calej-prawdy/,2
10,"Mieliśmy takie poczucie 20 lat temu, […] że wchodzimy do jakiejś strefy wolności i swobód. […] Trochę po tych 20 lat można mieć wątpliwości, czy przypadkiem ta struktura, jako instytucja, zamienia się w strefę nakazów i zakazów. Ja sobie wyliczyłem: Unia produkuje […] raz w tygodniu dyrektywę, a 2 razy dziennie, łącznie z sobotami i niedzielami, rozporządzenie.",demagog_org,Manipulacja,UE,1716901800,Jarosław Sellin,https://demagog.org.pl/wypowiedzi/unia-europejska-a-akty-prawne-ile-przyjmuje-ich-rocznie/,2
11,"Rocznie w Polsce straż pożarna przeprowadza […] 500 tys. interwencji, pożary z tego to 100 tys. 300 pożarów dziennie.",demagog_org,Prawda,Bezpieczeństwo,1716824940,Jacek Siewiera,https://demagog.org.pl/wypowiedzi/interwencje-strazy-pozarnej-sprawdzamy-ile-jest-ich-rocznie/,1
12,"Po pierwsze, no to jest mój pogląd, ale bardzo wielu wybitnych naukowców, także noblistów, go podziela: wpływ człowieka na klimat jest zupełnie minimalny, prawie żaden.",demagog_org,Fałsz,"Ekologia,UE,Wybory,Wybory europarlamentarne,Klimat",1716823140,Jarosław Kaczyński,https://demagog.org.pl/wypowiedzi/czlowiek-nie-ma-prawie-zadnego-wplywu-na-klimat-ma-i-to-duzy/,0
13,"Ale pamiętajcie państwo, że tego wariactwa w Europie w innych dziedzinach jest w tej chwili no niebywała ilość […]. W Niemczech np. w tej chwili co roku każdy deklaruje, czy jest kobietą czy mężczyzną.",demagog_org,Fałsz,"Niemcy,Równouprawnienie",1716804300,Jarosław Kaczyński,https://demagog.org.pl/wypowiedzi/deklaracja-plci-w-niemczech-raz-w-roku-falsz-kaczynskiego/,0
14,W 2021 pod opiekę gmin trafiły 72 tysiące bezpańskich psów. To kosztowało samorządy 244 mln zł.,demagog_org,Prawda,Zwierzęta,1716802500,Piotr Cezary Lisiecki,https://demagog.org.pl/wypowiedzi/ile-bezpanskich-psow-trafilo-pod-opieke-gmin/,1
15,"Nie, absolutnie byłam temu przeciwna [rezolucji o europejskiej strategii wobec białka – przyp. Demagog]. […] Prawdopodobnie nie [głosowałam za – przyp. Demagog], a jeśli nawet […] by się tak stało, to zawsze jest jeszcze poprawka.",demagog_org,Fałsz,"Ekologia,UE,Wybory,Wybory europarlamentarne",1716732360,Beata Kempa,https://demagog.org.pl/wypowiedzi/jak-glosowala-beata-kempa-w-sprawie-rezolucji-o-owadach/,0
16,"Wg raportów i analiz KE ani Polska, ani żaden inny kraj UE nie jest zabezpieczony lekowo. Jesteśmy zależni od dostaw substancji czynnych, np. z Chin i Indii.",demagog_org,Prawda,"Gospodarka,Zdrowie,Sprawy międzynarodowe,Chiny",1716726720,Dorota Kolarska,https://demagog.org.pl/wypowiedzi/ue-nie-jest-samowystarczajaca-w-produkcji-lekow-to-prawda/,1
17,Unia Europejska = droga energia. 40-50% rachunku za prąd to unijne eko-podatki.,demagog_org,Fałsz,"Energetyka,UE",1716607260,Janusz Kowalski,https://demagog.org.pl/wypowiedzi/jaka-czesc-rachunku-za-prad-to-unijne-eko-podatki-sprawdzamy/,0
18,"Droga do zmiany traktatów wiedzie przez zastosowanie zasady jednomyślności. Żeby zwołać te wszystkie konwenty, konferencję międzyrządową, która miałaby podjąć tę decyzję, w istocie trzeba by się na każdym z tych etapów, czy już na pewno na finale, uzyskać jednomyślność, żeby zrezygnować [z prawa do veta – przyp. Demagog]",demagog_org,Prawda,"Wybory europarlamentarne,Sprawy międzynarodowe,UE",1716552120,Adam Jarubas,https://demagog.org.pl/wypowiedzi/zmiana-traktatow-ue-czy-potrzebna-jest-do-tego-jednomyslnosc/,1
19,"Rzeczywiście teraz europosłowie mają jednakowe zasady, jeżeli chodzi o wynagrodzenie, jednakowe zasady, jeżeli chodzi o diety i inne rozliczenia. Kiedyś tak nie było, a poziom życia jest różny w różnych krajach.",demagog_org,Prawda,"UE,Wybory europarlamentarne",1716458580,Andrzej Halicki,https://demagog.org.pl/wypowiedzi/ile-zarabia-europosel-w-polsce-a-ile-w-innych-krajach-ue/,1
20,"Prawie 80 proc. dzieci LGBT, młodych ludzi LGBT, miało próbę samobójczą.",demagog_org,Manipulacja,"LGBTQIA,Zdrowie,Bezpieczeństwo",1716388080,Robert Biedroń,https://demagog.org.pl/wypowiedzi/proby-samobojcze-dzieci-i-mlodziezy-lgbt-biedron-manipuluje/,2
21,"Europejski Trybunał Praw Człowieka już w 2011 roku stwierdził, że krzyże mogą wisieć we włoskich szkołach, ponieważ nie jest to element dyskryminacji, tylko części kultury i cywilizacji zachodniej.",demagog_org,W większości prawda,"Włochy,Wymiar sprawiedliwości",1716307800,Tobiasz Bocheński,https://demagog.org.pl/wypowiedzi/krzyze-w-szkolach-co-orzekl-europejski-trybunal-praw-czlowieka/,4
22,"Niemiecka polityk, Maria Kaiser została skazana i ukarana karą grzywny w wysokości 6000€ za opublikowanie statystyk, z których wynika, że imigranci z Afryki i Afganistanu częściej dopuszczają się przestępstw.",demagog_org,Manipulacja,"Niemcy,Uchodźcy",1716305280,Konrad Berkowicz,https://demagog.org.pl/wypowiedzi/polityczka-winna-powolania-sie-na-prawdziwe-dane-wyjasniamy/,2
23,[…] kilka lat temu jeszcze premier Szydło postanowiła zlikwidować 10 delegatur Agencji Bezpieczeństwa Wewnętrznego w 10 województwach.,demagog_org,Prawda,"Służby specjalne,Polityka krajowa,Bezpieczeństwo",1716297360,Donald Tusk,https://demagog.org.pl/wypowiedzi/likwidacja-delegatur-abw-sprawdzamy-slowa-donalda-tuska/,1
24,"To nie my zgodziliśmy się na pakt migracyjny. To była pierwsza decyzja rządu Tuska, która zapadła 20 grudnia w Brukseli, a więc tydzień po przejęciu władzy przez koalicję 13 grudnia. My do końca upieraliśmy się, że ten pakt migracyjny musi być  zablokowany.",demagog_org,Fałsz,"Polityka krajowa,UE,Migracja",1716240480,Adam Bielan,https://demagog.org.pl/wypowiedzi/rzad-donalda-tuska-zgodzil-sie-na-pakt-migracyjny/,0
25,20 lat temu nasz eksport produktów rolnych to ok. 4 mld euro. Dziś ponad 50 mld euro.,demagog_org,Prawda,"Rolnictwo,UE",1716209340,Bogdan Zdrojewski,https://demagog.org.pl/wypowiedzi/eksport-produktow-rolnych-jak-rozwinal-sie-przez-ostatnie-20-lat/,1
26,"Bez unijnego portfela tożsamości cyfrowej obywatele, mieszkańcy (i przedsiębiorstwa) Europy nie będą mogli udowodnić, kim są, ani uzyskać dostępu do usług cyfrowych.",demagog_org,Fałsz,"UE,Wybory,Wybory europarlamentarne,Technologia",1715959500,Paweł Usiądek,https://demagog.org.pl/wypowiedzi/europejska-tozsamosc-cyfrowa-zabierze-nam-dostep-do-uslug-falsz/,0
27,"[Sędziowie – przyp. Demagog] i prokuratorzy też nie [są sprawdzani przez służby przed uzyskaniem dostępu do informacji niejawnych – przyp. Demagog]. Nie wypełniają ankiet bezpieczeństwa, tak jak posłowie, bo to zostało kiedyś tam uznane za ingerencję w niezawisłość.",demagog_org,Prawda,"Wymiar sprawiedliwości,Sądownictwo",1715874120,Radosław Sikorski,https://demagog.org.pl/wypowiedzi/kto-ma-ulatwiony-dostep-do-informacji-niejawnych-na-liscie-sedziowie/,1
28,"Proszę zobaczyć, jakie trendy są też w Niemczech […] Przecież dzisiaj nawet badanie pokazało, że młodzi Niemcy chcą głosować w przeważającej części na AfD.",demagog_org,Fałsz,Niemcy,1715860020,Beata Kempa,https://demagog.org.pl/wypowiedzi/mlodzi-w-niemczech-glosuja-na-afd-oto-co-pokazuja-sondaze/,0
29,"W 2015 r., kiedy przyszliśmy do władzy [Prawo i Sprawiedliwość – przyp. Demagog], nie było wojsk NATO-wskich i amerykańskich w Polsce.",demagog_org,Fałsz,"Wojsko,NATO,USA",1715857080,Marcin Przydacz,https://demagog.org.pl/wypowiedzi/obecnosc-wojsk-usa-i-nato-w-polsce-od-kiedy/,0
30,Łączne transfery finansowe z budżetu Unii Europejskiej do Polski to ponad 1 bln zł. Oddaliśmy w składkach […] ⅓; ⅔ zostało w Polsce.,demagog_org,Prawda,"Finanse,UE,Budżet",1715692920,Krzysztof Kwiatkowski,https://demagog.org.pl/wypowiedzi/ile-polska-otrzymala-z-budzetu-ue-a-ile-do-niego-wplacila/,1
31,PILNE : na ulicy Pięknej w #Warszawa mijałam radiowóz wspólnego patrolu polsko- niemieckiego. Czy to początek niemieckiej jurysdykcji w polskiej stolicy?,demagog_org,Manipulacja,"Bezpieczeństwo,Niemcy,Policja",1715681100,Agnieszka Wojciechowska van Heukelom,https://demagog.org.pl/wypowiedzi/co-niemiecki-radiowoz-robil-na-ulicach-warszawy/,2
